Name,Volume,Price,Chg,% Chg
North Atlantic Drilling (NADL),3.32,-0.59,-15.09,240715
Diamond Resorts International (DRII),22.73,-2.95,-11.49,3631836
Wayfair Cl A (W),38.06,-3.65,-8.75,3319335
EP Energy Cl A (EPE),5.43,-0.51,-8.59,3438250
Rose Rock Midstream (RRMS),12.66,-1.1,-7.99,197352
Tilly's (TLYS),6.87,-0.57,-7.66,173586
GAIN Capital Holdings (GCAP),6.57,-0.54,-7.59,319419
NGL Energy Partners (NGL),7.69,-0.61,-7.35,1722574
K12 (LRN),10.34,-0.81,-7.26,140534
Era Group (ERA),9.98,-0.78,-7.25,150745
Diana Shipping (DSX),2.58,-0.2,-7.19,267243
Teekay Offshore Partners (TOO),5.81,-0.42,-6.74,1633184
Emerge Energy Services (EMES),5.26,-0.38,-6.74,704255
Xerium Technologies (XRM),5.41,-0.39,-6.72,159866
Trinseo (TSE),35.33,-2.53,-6.68,3904023
First BanCorp (Puerto Rico) (FBP),2.94,-0.21,-6.67,467201
Semgroup Cl A (SEMG),22.33,-1.59,-6.65,429547
Teekay (TK),9.02,-0.64,-6.63,1846036
Celestica (CLS),10,-0.67,-6.28,1202594
Vivint Solar (VSLR),3.36,-0.21,-5.88,1013573
SeaDrill (SDRL),3.53,-0.22,-5.87,8777985
Basic Energy Services (BAS),3.26,-0.2,-5.78,1591987
SunEdison (SUNE),2.01,-0.12,-5.63,19749878
Clear Channel Outdoor Holdings (CCO),4.45,-0.26,-5.52,86779
Five Star Quality Care (FVE),2.28,-0.13,-5.39,215980
Sherwin-Williams (SHW),273.29,-15.4,-5.33,4449408
MagnaChip Semiconductor (MX),5.22,-0.29,-5.26,184642
DHT Holdings (DHT),5.8,-0.32,-5.23,2223873
Exar (EXAR),5.46,-0.3,-5.21,102387
Sunoco Logistics Partners (SXL),24.47,-1.33,-5.16,1408274
Energy Transfer Equity (ETE),7.6,-0.41,-5.12,19134407
Regis (RGS),14.88,-0.8,-5.1,426382
RingCentral Cl A (RNG),15.08,-0.81,-5.1,652850
Frontline (FRO),8.49,-0.45,-5.03,1194292
Trecora Resources (TREC),10.31,-0.54,-4.98,14188
William Lyon Homes (WLH),13.88,-0.72,-4.93,753059
John Wiley&Sons Cl A (JWA),46.88,-2.43,-4.93,308479
Korn/Ferry International (KFY),28.21,-1.42,-4.79,872277
Century Communities (CCS),16.19,-0.8,-4.71,65248
Wyndham Worldwide (WYN),77.07,-3.72,-4.6,4668146
Bill Barrett (BBG),5.82,-0.28,-4.59,2087474
Fairmount Santrol Holdings (FMSA),2.92,-0.14,-4.58,324989
Harte-Hanks (HHS),2.75,-0.13,-4.51,239042
Bitauto Holdings ADR (BITA),26.21,-1.23,-4.48,638987
New Oriental Education&Technology Group ADR (EDU),34.31,-1.59,-4.43,1883126
Williams (WMB),17.35,-0.8,-4.41,6426248
Workiva Cl A (WK),11.5,-0.53,-4.41,61856
Marriott Vacations Worldwide (VAC),66.94,-3.06,-4.37,643503
Capital Senior Living (CSU),17.53,-0.8,-4.36,321886
Penumbra (PEN),45.01,-2.05,-4.36,170369
Euronav (EURN),10.22,-0.46,-4.31,1367740
Cabot Oil&Gas (COG),21.79,-0.98,-4.3,7251282
Gray Television (GTN),12.15,-0.54,-4.26,469172
Tempur Sealy International (TPX),60.52,-2.67,-4.23,1601313
Rollins Inc. (ROL),26.8,-1.17,-4.18,837743
Culp Inc. (CFI),25.01,-1.06,-4.07,31051
OMNOVA Solutions (OMN),5.49,-0.23,-4.02,114123
Valero Energy Partners (VLP),48.98,-2.02,-3.96,67609
ONEOK Partners (OKS),30.94,-1.27,-3.94,1626994
United States Steel (X),15.15,-0.61,-3.87,16274666
PennyMac Financial Services Cl A (PFSI),11.5,-0.46,-3.85,37888
Beazer Homes USA (BZH),8.78,-0.35,-3.83,586631
Duff&Phelps Select Energy MLP Fund (DSE),5.3,-0.21,-3.81,72048
ArcelorMittal ADR (MT),4.39,-0.17,-3.73,12174912
Myers Industries (MYE),12.68,-0.49,-3.72,79218
CBL&Associates Properties (CBL),11.53,-0.44,-3.68,1921016
ONEOK (OKE),29.69,-1.13,-3.67,2882572
EQT (EQT),63.33,-2.41,-3.67,1392748
Nordic American Offshore (NAO),4.75,-0.18,-3.65,70660
Startek (SRT),4.24,-0.16,-3.64,18828
Eastman Kodak (KODK),11.96,-0.45,-3.63,129595
Chemours (CC),7.2,-0.27,-3.61,2148520
TravelCenters of America (TA),7.2,-0.27,-3.61,629084
Gramercy Property Trust (GPT),8.1,-0.3,-3.57,2135340
Ladder Capital Cl A (LADR),11.89,-0.44,-3.57,322989
Moog Cl A (MOGA),45.76,-1.69,-3.56,195258
Commercial Metals (CMC),16.55,-0.61,-3.55,2050758
U.S. Physical Therapy (USPH),47.22,-1.73,-3.53,178300
Quad/Graphics (QUAD),13.14,-0.47,-3.45,192806
Kemper Corp (KMPR),30.34,-1.08,-3.44,172021
Clearbridge Energy MLP Total Return Fund (CTR),10.41,-0.37,-3.43,78846
Albany International Cl A (AIN),36.74,-1.3,-3.42,125031
Alon USA Partners (ALDW),13.65,-0.48,-3.4,165409
City Office REIT (CIO),12.64,-0.44,-3.36,65329
Coty Cl A (COTY),27.01,-0.94,-3.36,981495
Whiting Petroleum (WLL),8.06,-0.28,-3.36,31241494
Universal American (UAM),7.02,-0.24,-3.31,93108
Jones Energy Cl A (JONE),3.81,-0.13,-3.3,295684
Transportadora de Gas del Sur ADR (TGS),5.93,-0.2,-3.26,54931
Teekay Tankers (TNK),3.88,-0.13,-3.24,1786081
Nationstar Mortgage Holdings (NSM),10.77,-0.36,-3.23,1052896
Shake Shack Cl A (SHAK),33.72,-1.12,-3.21,694019
Cloud Peak Energy (CLD),2.11,-0.07,-3.21,824710
Fidelity National Financial Tracking Stock (FNFV),11.23,-0.37,-3.19,265839
First Potomac Realty Trust (FPO),8.82,-0.29,-3.18,149337
Ardmore Shipping (ASC),8.53,-0.28,-3.18,160587
Enterprise Products Partners (EPD),24.69,-0.81,-3.18,5716296
Danaos (DAC),4.27,-0.14,-3.17,20710
TC PipeLines (TCP),50.35,-1.65,-3.17,394530
Rayonier Advanced Materials (RYAM),9.53,-0.31,-3.15,397342
